[u'2017-05-19 17:40\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-05-19 20:41\xa0UTC', u'mice', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-05-20 13:19\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-20 13:36\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'festive_jennings\xa0(11)']
[u'2017-05-20 14:59\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-05-20 15:24\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-05-20 15:42\xa0UTC', u'pluto', u'0\xa0\U0001f353', u'focused_gary\xa0(20)']
[u'2017-05-20 15:46\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-05-20 15:47\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-05-20 17:40\xa0UTC', u'pluto', u'0\xa0\U0001f353', u'cranky_mccarthy\xa0(27)']
[u'2017-05-20 18:01\xa0UTC', u'pluto', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-20 18:05\xa0UTC', u'pluto', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-20 18:49\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'cranky_mccarthy\xa0(27)']
[u'2017-05-20 20:17\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'cranky_mccarthy\xa0(27)']
[u'2017-05-20 21:45\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-05-20 21:45\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-05-20 21:53\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-21 11:37\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'focused_gary\xa0(20)']
[u'2017-05-21 22:50\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-05-21 23:41\xa0UTC', u'doegox', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-05-22 01:46\xa0UTC', u'MiWCryptAnalytics', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-22 01:52\xa0UTC', u'MiWCryptAnalytics', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-22 05:51\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-05-22 05:57\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-05-22 06:32\xa0UTC', u'pluto', u'0\xa0\U0001f353', u'festive_jennings\xa0(11)']
[u'2017-05-22 06:33\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'festive_jennings\xa0(11)']
