[u'#14', u'34', u'determined_goldwasser', u'0\xa0\U0001f353', u'negainoido', u'Broken!', u'2017-05-21 22:00\xa0UTC', u'2017-05-21 22:50\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'35', u'friendly_edison', u'0\xa0\U0001f353', u'negainoido', u'Broken!', u'2017-05-21 23:24\xa0UTC', u'2017-05-21 23:41\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'804', u'laughing_leakey', u'0\xa0\U0001f353', u'GMorseCode', u'Broken!', u'2017-08-23 11:58\xa0UTC', u'2017-08-23 12:46\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'41', u'nifty_heisenberg', u'0\xa0\U0001f353', u'Alt', u'Broken!', u'2017-05-23 16:49\xa0UTC', u'2017-05-24 11:12\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'811', u'friendly_lewin', u'0\xa0\U0001f353', u'GMorseCode', u'Broken!', u'2017-08-24 09:52\xa0UTC', u'2017-08-24 10:13\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'812', u'frosty_hypatia', u'0\xa0\U0001f353', u'GMorseCode', u'Broken!', u'2017-08-24 16:06\xa0UTC', u'2017-08-24 18:17\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'45', u'quirky_keller', u'0\xa0\U0001f353', u'Luigi37', u'Broken!', u'2017-05-28 07:40\xa0UTC', u'2017-05-28 07:49\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'813', u'musing_lalande', u'0\xa0\U0001f353', u'GMorseCode', u'Broken!', u'2017-08-25 16:46\xa0UTC', u'2017-08-25 19:28\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'46', u'dazzling_panini', u'0\xa0\U0001f353', u'alec', u'Broken!', u'2017-05-28 13:42\xa0UTC', u'2017-05-28 14:59\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'47', u'peaceful_williams', u'0\xa0\U0001f353', u'kluxc3qa1', u'Broken!', u'2017-05-30 20:14\xa0UTC', u'2017-05-31 08:01\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'48', u'reverent_beaver', u'0\xa0\U0001f353', u'therealvalensteam', u'Broken!', u'2017-06-02 14:37\xa0UTC', u'2017-06-02 16:28\xa0UTC', u'0\xa0\U0001f353']
